Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent Falls Far Below,Reading Percent Approaches,Reading Percent Meets,Reading Percent Exceeds,Reading Percent Passing,Writing Mean Scale Score,Writing Percent Falls Far Below,Writing Percent Approaches,Writing Percent Meets,Writing Percent Exceeds,Writing Percent Passing,Science Mean Scale Score,Science Percent Falls Far Below,Science Percent Approaches,Science Percent Meets,Science Percent Exceeds,Science Percent Passing
2010,ARIZONA,Pima,87344,108731000,"A Child's View School, Inc.",87345,108731101,A Child's View School,Y,390,11,11,52,26,78,474,4,30,*,*,67,*,*,*,*,*,*,508,18,27,27,27,55
2010,ARIZONA,Pima,90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,Y,389,8,27,46,19,65,505,*,*,84,8,92,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,79052,78799000,Academy of Arizona,79124,78799101,Academy of Arizona - Main,Y,359,52,23,24,1,25,459,22,39,*,*,40,501,6,44,48,2,50,472,53,7,30,10,40
2010,ARIZONA,Mohave,85540,88704000,"Academy of Building Industries, Inc.",85541,88704201,Academy of Building Industries,Y,483,50,22,*,*,28,681,6,42,48,3,52,680,3,43,*,*,53,484,41,5,45,9,55
2010,ARIZONA,Maricopa,4296,78604000,"Academy Of Excellence, Inc.",5461,78604101,Academy Of Excellence,Y,351,60,30,9,2,11,455,23,44,32,2,33,467,8,58,*,*,35,479,50,20,25,5,30
2010,ARIZONA,Pinal,4296,78604000,"Academy Of Excellence, Inc.",85863,78604004,Academy of Excellence - Central Arizona,Y,380,43,25,14,18,32,481,4,54,36,7,43,488,*,*,*,*,28,*,*,*,*,*,*
2010,ARIZONA,Pima,79961,108713000,"Academy of Math and Science, Inc.",79094,108713101,Academy of Math and Science,Y,434,14,12,35,39,74,529,3,17,69,12,81,558,2,29,62,7,69,540,7,9,30,54,84
2010,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",81130,108665102,Academy of Tucson Elementary School,Y,401,3,11,51,35,86,510,*,*,72,21,93,548,*,*,83,6,90,561,4,6,19,70,89
2010,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",78898,108665201,Academy of Tucson High School,Y,527,15,5,56,24,80,737,*,*,73,20,94,732,*,*,75,21,96,521,18,18,35,29,65
2010,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",79986,108665101,Academy of Tucson Middle School,Y,446,11,9,38,41,80,549,1,11,74,14,88,554,1,17,75,8,83,561,*,*,19,70,89
2010,ARIZONA,Maricopa,79213,78794000,Academy with Community Partners  Inc,10795,78794201,Academy with Community Partners,Y,459,77,10,12,1,13,659,16,54,*,*,30,654,13,61,*,*,26,443,79,9,11,1,12
2010,ARIZONA,Pima,6364,108767000,Accelerated Elementary and Secondary Schools,5891,108767001,Accelerated Learning Laboratory,Y,404,9,25,46,20,66,511,6,11,76,7,84,532,2,28,67,3,70,518,11,18,47,24,71
2010,ARIZONA,Maricopa,4297,78979000,"Accelerated Learning Center, Inc.",5462,78979201,Accelerated Learning Center,Y,495,36,19,44,2,45,737,*,*,78,17,95,699,*,*,73,5,78,467,64,18,*,*,18
2010,ARIZONA,Yavapai,78830,138763000,"Accelerated Learning Charter School, Inc.",78832,138763101,Accelerated Learning Charter School,Y,371,27,36,24,13,38,487,7,24,60,9,69,509,5,36,50,9,59,487,38,19,31,13,44
2010,ARIZONA,Maricopa,4325,78701000,Acclaim Charter School,5496,78701101,ACCLAIM Academy,Y,389,19,26,45,11,55,481,8,26,65,1,66,512,5,30,61,4,65,511,14,23,36,26,62
2010,ARIZONA,Yavapai,79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,Y,393,16,18,44,22,66,491,5,16,72,8,79,550,1,20,70,9,79,490,13,24,29,35,64
2010,ARIZONA,Maricopa,78862,78782000,"Advanced Education Services, Inc.",78863,78782101,Chandler Scholastic Academy,Y,367,20,29,42,9,51,465,3,31,63,3,66,494,*,*,*,*,43,501,20,35,20,25,45
2010,ARIZONA,Maricopa,4289,70516000,Agua Fria Union High School District,5454,70516201,Agua Fria High School,N,501,36,15,34,15,49,700,7,19,65,9,74,696,5,25,61,10,71,472,52,18,21,9,30
2010,ARIZONA,Maricopa,4289,70516000,Agua Fria Union High School District,79799,70516203,Desert Edge High School,N,490,37,15,35,13,47,696,6,19,67,8,75,688,6,29,61,5,65,468,56,14,20,11,31
2010,ARIZONA,Maricopa,4289,70516000,Agua Fria Union High School District,78926,70516202,Millennium High School,N,514,24,13,40,23,63,718,4,14,68,14,82,716,3,16,56,25,81,492,38,17,27,18,45
2010,ARIZONA,Maricopa,4289,70516000,Agua Fria Union High School District,87903,70516204,Verrado High School,N,498,34,14,34,18,52,710,3,20,66,10,77,704,1,23,66,10,75,488,41,17,26,17,42
2010,ARIZONA,Maricopa,4249,70363000,Aguila Elementary District,5187,70363101,Aguila Elementary School,N,392,19,24,44,13,57,482,9,30,57,4,61,504,*,*,*,*,52,471,48,30,*,*,22
2010,ARIZONA,Maricopa,85875,78501000,"Ahwatukee Foothills Prep, Inc.",85881,78501001,Ahwatukee Foothills Prep,Y,392,13,27,38,23,60,488,2,22,68,8,76,529,*,*,56,11,67,536,6,14,35,45,80
2010,ARIZONA,Maricopa,79053,78793000,AIBT Non-Profit Charter High School - Phoenix,79123,78793201,RCB Medical Arts Academy,Y,483,74,14,10,1,11,667,10,54,*,*,36,664,4,56,*,*,40,439,81,10,*,*,10
2010,ARIZONA,Pima,4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,N,352,51,26,19,4,23,454,15,37,46,2,48,483,10,51,37,2,39,468,51,20,17,12,29
2010,ARIZONA,Pima,4409,100215000,Ajo Unified District,6292,100215002,Ajo High School,N,476,69,20,9,2,11,656,21,33,*,*,47,643,16,58,*,*,25,449,82,7,*,*,11
2010,ARIZONA,Pinal,78966,118706000,"Akimel O'Otham Pee Posh Charter School, Inc.",78967,118706001,Akimel O'Otham Pee Posh (3-5),Y,351,23,43,28,6,34,450,9,39,50,2,51,503,*,*,53,3,56,490,17,42,39,3,42
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5381,70468101,Alhambra Traditional School,N,448,*,*,32,63,95,537,*,*,72,26,98,594,*,*,63,33,96,553,2,8,26,64,90
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5382,70468102,Andalucia Middle School,N,392,24,21,38,17,55,484,8,27,60,5,65,506,4,41,52,3,55,473,39,27,25,10,34
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5383,70468103,Andalucia Primary School,N,380,6,14,49,30,80,469,4,17,65,14,80,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5384,70468104,Barcelona Middle School,N,379,35,22,33,10,43,480,11,28,57,5,62,506,4,41,51,4,55,475,32,26,27,14,41
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,6030,70468105,Carol G. Peck Elementary School,N,357,11,27,48,14,62,451,8,22,58,12,70,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5385,70468106,Catalina Ventura School,N,391,21,22,40,16,57,490,6,22,66,5,71,521,2,33,62,3,65,502,25,20,32,23,55
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5386,70468107,Cordova Middle School,N,386,33,24,30,13,43,482,15,25,56,4,60,502,8,36,50,5,56,479,40,23,22,15,37
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,6031,70468108,Cordova Primary School,N,344,17,29,43,11,54,440,11,24,60,5,65,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5387,70468109,Granada East School,N,398,21,23,40,17,56,492,8,22,65,5,70,494,4,48,46,2,48,492,24,28,31,16,47
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5388,70468110,Granada Primary School,N,366,8,28,47,18,65,456,4,24,64,9,72,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5389,70468111,Montebello School,N,375,31,24,32,13,45,471,17,25,53,5,58,502,11,29,56,4,61,472,44,26,21,10,30
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5391,70468113,R E Simpson School,N,383,32,23,34,11,45,476,14,29,55,2,58,498,7,40,51,2,53,474,40,25,27,8,35
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5390,70468112,Sevilla Primary School,N,355,13,27,45,16,61,444,6,27,55,12,66,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,79203,70468115,Sevilla West School,N,403,18,19,39,23,63,491,7,22,66,4,71,524,2,30,60,7,67,486,27,25,31,17,48
2010,ARIZONA,Maricopa,4280,70468000,Alhambra Elementary District,5392,70468114,Westwood Primary School,N,384,4,13,46,37,83,474,2,11,66,21,87,*,*,*,*,*,*,*,*,*,*,*,*
2010,ARIZONA,Maricopa,79969,78967000,All Aboard Charter School dba All Aboard Charter School,79970,78967101,All Aboard Charter School,Y,368,13,17,52,17,70,468,9,13,74,4,78,*,*,*,*,*,*,504,18,27,36,18,55
2010,ARIZONA,Maricopa,4347,78724000,"Allen-Cochran Enterprises, Inc.",5521,78724101,Center for Educational Excellence,Y,419,8,14,44,35,79,524,2,8,73,18,91,579,2,5,66,26,92,552,9,6,20,65,85
2010,ARIZONA,Pima,81031,108716000,Allsport Academy,79681,108716001,Allsport Academy,Y,373,73,18,*,*,9,476,24,52,*,*,24,512,*,*,*,*,50,*,*,*,*,*,*
2010,ARIZONA,Apache,4161,10307000,Alpine Elementary District,4743,10307101,Alpine Elementary School,N,*,*,*,*,*,*,*,*,*,*,*,*,556,*,*,68,18,86,550,*,*,33,58,92
2010,ARIZONA,Pima,4418,100351000,Altar Valley Elementary District,5859,100351103,Altar Valley Middle School,N,397,23,23,39,15,54,487,10,26,61,3,64,506,5,37,56,2,58,471,20,24,37,19,56
