Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2013,ARIZONA,Yavapai,79457,138761000,A Center for Creative Education,79458,138761101,Verde Valley Montessori School - A Center for Creative Education,Y,411,*,*,53,41,94,523,*,*,56,31,88,*,*,*,*,*,*,*,*,*,*,*,*
2013,ARIZONA,Pima,87344,108731000,"A Child's View School, Inc.",87345,108731101,A Child's View School,Y,356,42,16,32,11,42,475,5,21,68,5,74,*,*,*,*,*,*,*,*,*,*,*,*
2013,ARIZONA,Pima,90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,Y,397,9,27,45,18,64,521,*,*,73,18,91,*,*,*,*,*,*,*,*,*,*,*,*
2013,ARIZONA,Pima,90199,108734000,"Academy Del Sol, Inc.",90770,108734002,Academy Del Sol - Hope,Y,398,6,28,50,17,67,508,*,*,78,6,83,*,*,*,*,*,*,*,*,*,*,*,*
2013,ARIZONA,Mohave,85540,88704000,"Academy of Building Industries, Inc.",85541,88704201,Academy of Building Industries,Y,462,67,22,*,*,11,679,5,37,*,*,58,470,4,59,*,*,37,448,83,8,*,*,8
2013,ARIZONA,Maricopa,4296,78604000,"Academy Of Excellence, Inc.",5461,78604101,Academy Of Excellence,Y,368,31,37,24,8,32,480,2,26,69,3,73,478,17,57,*,*,27,500,11,33,*,*,56
2013,ARIZONA,Pinal,4296,78604000,"Academy Of Excellence, Inc.",85863,78604004,Academy of Excellence - Central Arizona,Y,360,61,11,17,11,28,471,6,44,*,*,50,*,*,*,*,*,*,*,*,*,*,*,*
2013,ARIZONA,Pima,79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,Y,428,7,9,43,40,84,524,1,7,78,14,92,505,3,38,56,4,60,543,5,15,27,53,80
2013,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",81130,108665102,Academy of Tucson Elementary School,Y,400,2,10,53,35,88,504,*,*,74,24,98,*,*,*,*,*,*,558,2,8,28,62,90
2013,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",78898,108665201,Academy of Tucson High School,Y,507,20,10,52,18,70,729,*,*,87,4,91,510,2,17,*,*,81,529,6,22,28,44,72
2013,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",79986,108665101,Academy of Tucson Middle School,Y,434,11,10,48,30,78,535,1,11,76,11,88,519,5,23,64,9,73,537,5,9,31,55,86
2013,ARIZONA,Maricopa,79213,78794000,Academy with Community Partners  Inc,10795,78794201,Academy with Community Partners,Y,466,58,25,*,*,18,675,2,51,*,*,47,466,12,57,*,*,32,459,50,35,*,*,15
2013,ARIZONA,Pima,6364,108767000,Accelerated Elementary and Secondary Schools,5891,108767001,Accelerated Learning Laboratory,Y,424,5,14,41,40,81,524,3,12,67,18,86,540,*,*,75,19,94,526,15,12,32,41,74
2013,ARIZONA,Maricopa,4297,78979000,"Accelerated Learning Center, Inc.",5462,78979201,Accelerated Learning Center,Y,482,34,31,31,3,34,694,*,*,*,*,65,485,5,35,*,*,60,*,*,*,*,*,*
2013,ARIZONA,Yavapai,78830,138763000,"Accelerated Learning Charter School, Inc.",78832,138763101,Accelerated Learning Charter School,Y,378,27,24,41,8,49,483,3,38,54,5,59,474,26,37,*,*,37,*,*,*,*,*,*
2013,ARIZONA,Maricopa,4325,78701000,Acclaim Charter School,5496,78701101,ACCLAIM Academy,Y,394,17,26,48,9,58,493,4,20,74,3,77,480,15,53,31,1,32,503,18,26,33,23,55
