Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2012,ARIZONA,Yavapai,79457,138761000,A Center for Creative Education,79458,138761101,Verde Valley Montessori School - A Center for Creative Education,Y,403,5,18,55,23,77,514,*,*,77,18,95,512,*,*,*,*,82,*,*,*,*,*,*
2012,ARIZONA,Pima,87344,108731000,"A Child's View School, Inc.",87345,108731101,A Child's View School,Y,354,33,24,33,10,43,467,14,19,62,5,67,*,*,*,*,*,*,508,20,10,60,10,70
2012,ARIZONA,Pima,90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,Y,399,*,*,33,27,60,503,*,*,73,13,87,*,*,*,*,*,*,*,*,*,*,*,*
2012,ARIZONA,Pima,90199,108734000,"Academy Del Sol, Inc.",90770,108734002,Academy Del Sol - Hope,Y,420,13,19,38,31,69,533,*,*,81,13,94,510,*,*,50,10,60,*,*,*,*,*,*
2012,ARIZONA,Mohave,85540,88704000,"Academy of Building Industries, Inc.",85541,88704201,Academy of Building Industries,Y,456,75,13,10,2,13,678,3,49,*,*,49,462,13,63,*,*,24,450,76,8,8,8,16
2012,ARIZONA,Maricopa,4296,78604000,"Academy Of Excellence, Inc.",5461,78604101,Academy Of Excellence,Y,363,41,29,21,10,30,471,10,27,58,5,63,475,26,36,*,*,38,463,23,41,27,9,36
2012,ARIZONA,Pinal,4296,78604000,"Academy Of Excellence, Inc.",85863,78604004,Academy of Excellence - Central Arizona,Y,373,35,30,25,10,35,479,5,30,*,*,65,*,*,*,*,*,*,*,*,*,*,*,*
2012,ARIZONA,Pima,79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,Y,431,6,12,39,43,82,526,1,8,74,18,91,520,3,23,66,8,74,576,2,3,26,69,95
2012,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",81130,108665102,Academy of Tucson Elementary School,Y,400,1,11,48,40,88,495,*,*,71,23,95,*,*,*,*,*,*,570,*,*,17,76,93
2012,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",78898,108665201,Academy of Tucson High School,Y,511,14,12,45,29,74,743,*,*,71,27,98,526,*,*,89,5,95,536,2,14,34,50,84
2012,ARIZONA,Pima,78897,108665000,"Academy of Tucson, Inc.",79986,108665101,Academy of Tucson Middle School,Y,429,14,19,35,31,66,532,2,10,78,11,89,528,3,21,63,13,76,534,11,11,25,54,78
2012,ARIZONA,Maricopa,79213,78794000,Academy with Community Partners  Inc,10795,78794201,Academy with Community Partners,Y,466,63,17,18,1,20,677,8,49,41,2,43,466,11,55,*,*,34,461,60,20,*,*,20
2012,ARIZONA,Pima,6364,108767000,Accelerated Elementary and Secondary Schools,5891,108767001,Accelerated Learning Laboratory,Y,441,4,12,39,45,85,548,1,8,65,26,91,535,*,*,65,18,82,559,3,15,26,56,82
2012,ARIZONA,Maricopa,4297,78979000,"Accelerated Learning Center, Inc.",5462,78979201,Accelerated Learning Center,Y,481,33,27,37,3,40,705,*,*,*,*,81,487,3,39,*,*,58,485,45,25,20,10,30
