Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2014,ARIZONA,Maricopa,4334,78710000,"International Commerce Secondary Schools, Inc.",88232,78710003,International Commerce High School - Phoenix,Y,458,75,19,*,*,6,669,2,57,*,*,42,471,6,52,*,*,42,*,*,*,*,*,*
2014,ARIZONA,Maricopa,90327,78564000,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",88289,78564001,Learning Foundation and Performing Arts Gilbert,Y,441,24,21,46,10,56,585,2,11,78,8,86,500,4,37,57,2,59,517,13,19,28,40,68
2014,ARIZONA,Maricopa,90328,78565000,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",88290,78565001,Learning Foundation and Performing Arts Alta Mesa,Y,406,23,32,35,10,45,531,2,21,71,6,77,492,4,49,46,1,47,483,31,29,31,9,40
2014,ARIZONA,Maricopa,88299,78515000,Chandler Preparatory Academy,88300,78515001,Great Hearts Academies - Chandler Prep,Y,490,1,6,34,59,93,605,*,*,72,26,98,538,*,*,77,13,90,548,2,13,25,60,85
2014,ARIZONA,Pima,88308,108732000,"Desert Sky Community School, Inc.",88309,108732101,Desert Sky Community School,Y,312,64,27,*,*,9,446,9,55,27,9,36,,,,,,,*,*,*,*,*,*
2014,ARIZONA,Yavapai,88321,138714000,"Desert Star Community School, Inc.",88322,138714101,Desert Star Community School,Y,405,11,24,41,24,65,506,4,14,72,10,83,495,13,36,*,*,51,531,3,12,48,36,85
2014,ARIZONA,Maricopa,88334,78517000,American Charter Schools Foundation d.b.a. South Ridge High School,88335,78517201,South Ridge High School,Y,501,14,19,57,10,67,730,*,*,78,16,94,530,2,9,79,10,89,489,37,20,31,11,43
2014,ARIZONA,Maricopa,4355,78754000,Benjamin Franklin Charter School,88341,78754104,Benjamin Franklin Charter School - Power,Y,428,4,5,37,54,91,518,1,6,72,22,93,534,2,13,74,11,85,530,4,17,49,30,79
2014,ARIZONA,Pinal,88360,78518000,Legacy Traditional Charter School - Maricopa,88361,78518101,Legacy Traditional School - Maricopa,Y,420,7,13,44,36,81,512,1,8,78,12,91,521,2,27,62,10,71,525,8,18,41,33,74
2014,ARIZONA,Maricopa,88365,78519000,"Imagine Charter Elementary at Camelback, Inc.",88366,78519101,Imagine Camelback Elementary,Y,375,8,24,47,20,67,463,2,23,72,3,74,509,8,23,67,2,69,492,16,44,33,7,40
2014,ARIZONA,Maricopa,88367,78520000,"Imagine Charter Elementary at Desert West, Inc.",88368,78520101,Imagine Desert West Elementary,Y,379,11,25,48,17,64,476,1,19,76,4,80,495,5,46,49,1,50,500,6,45,42,8,49
2014,ARIZONA,Maricopa,88369,78521000,"Imagine Middle at East Mesa, Inc.",88370,78521001,Imagine East Mesa Middle,Y,423,32,16,36,16,52,515,8,21,66,4,70,487,14,41,43,2,45,505,25,24,24,27,51
2014,ARIZONA,Maricopa,88372,78522000,"Imagine Middle at Surprise, Inc.",88373,78522101,Imagine Surprise Middle,Y,428,20,15,38,27,65,528,2,17,75,6,81,497,10,39,50,2,51,524,11,14,22,53,76
2014,ARIZONA,Maricopa,88374,78523000,"Imagine Elementary at Tempe, Inc.",88375,78523101,Imagine Tempe,Y,385,29,26,33,12,45,483,7,33,55,5,60,485,11,45,43,1,45,490,23,35,28,14,42
2014,ARIZONA,Apache,4159,10227000,Red Mesa Unified District,88386,10227205,Red Valley/Cove High School,N,474,38,25,*,*,38,656,8,67,*,*,25,463,7,60,*,*,33,*,*,*,*,*,*
2014,ARIZONA,Pima,4411,100230000,Sahuarita Unified District,88387,100230106,Anza Trail,N,421,11,18,42,29,71,522,1,11,77,11,88,513,4,27,63,6,69,535,4,15,32,48,81
2014,ARIZONA,Yavapai,90533,138501000,"Compass Points International, Inc",88388,138501001,Northpoint Expeditionary Learning Academy,Y,488,26,23,49,2,51,742,*,*,73,22,95,504,*,*,80,2,82,507,29,18,21,32,53
2014,ARIZONA,Maricopa,4237,70211000,Peoria Unified School District,88397,70211130,Vistancia Elementary School,N,437,4,11,39,46,85,529,*,*,76,18,95,530,1,19,70,10,80,542,2,9,34,55,89
2014,ARIZONA,Maricopa,4269,70433000,Buckeye Elementary District,88398,70433103,Westpark Elementary School,N,405,14,19,41,25,66,500,3,15,75,7,82,494,12,41,43,4,48,521,11,18,28,43,70
2014,ARIZONA,Maricopa,4246,70297000,Deer Valley Unified District,88399,70297148,Canyon Springs,N,424,9,17,42,31,74,525,2,8,76,14,90,507,4,31,63,2,65,542,3,14,31,51,82
2014,ARIZONA,Pinal,4437,110201000,Florence Unified School District,88400,110201105,Anthem Elementary School,N,372,19,22,43,17,60,469,3,19,70,8,78,492,10,40,48,1,49,476,13,25,34,29,62
2014,ARIZONA,Maricopa,4239,70241000,Gilbert Unified District,88401,70241166,Highland Park Elementary,N,406,2,15,47,36,83,505,1,4,77,18,95,528,2,14,75,9,84,515,*,*,48,38,86
2014,ARIZONA,Maricopa,4242,70280000,Chandler Unified District #80,88404,70280136,Chandler Traditional Academy - Independence,N,444,*,*,31,66,97,527,*,*,67,31,99,553,*,*,75,19,94,566,1,4,30,65,95
2014,ARIZONA,Pinal,4441,110220000,Maricopa Unified School District,88405,110220706,Santa Cruz Elementary School,N,387,17,21,44,18,62,485,2,22,71,5,76,489,10,45,44,1,45,501,18,29,42,11,53
2014,ARIZONA,Maricopa,4241,70269000,Paradise Valley Unified District,88406,70269132,Wildfire Elementary School,N,422,5,7,41,46,88,522,*,*,69,24,93,525,2,15,78,5,83,546,2,11,33,53,87
2014,ARIZONA,Maricopa,4286,70510000,Phoenix Union High School District,88407,70510284,Phoenix Union Bioscience High School,N,531,1,5,53,41,94,*,*,*,*,*,*,534,*,*,87,9,96,555,4,6,27,62,90
2014,ARIZONA,Mohave,79598,80220000,Kingman Unified School District,88409,80220118,White Cliffs Middle School,N,416,28,24,30,18,48,517,5,21,66,7,73,484,20,40,39,1,40,506,26,22,26,27,53
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,88414,70289120,Sonoran Heights Elementary,N,420,7,13,44,36,80,513,1,7,80,12,92,512,4,21,71,4,75,512,5,20,39,37,75
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,88415,70289121,Western Peaks Elementary,N,404,13,19,42,25,68,500,3,15,75,8,83,499,6,36,*,*,58,513,10,23,35,32,67
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,88416,70289122,Parkview Elementary,N,403,17,23,40,21,61,501,4,17,73,6,79,489,14,35,*,*,51,509,12,29,36,23,59
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,88417,70289220,Valley Vista High School,N,494,24,15,47,14,61,709,1,18,73,9,81,499,6,23,69,2,72,489,40,16,23,21,43
2014,ARIZONA,Maricopa,4276,70459000,Laveen Elementary District,88421,70459105,Trailside Point Elementary,N,400,18,20,40,22,62,493,3,21,71,4,76,493,13,31,54,2,55,500,20,32,33,16,49
2014,ARIZONA,Maricopa,4248,70260000,Higley Unified School District,88422,70260106,Cortina Elementary,N,426,3,12,36,49,85,517,*,*,75,21,97,523,1,18,75,5,80,548,2,12,39,48,87
2014,ARIZONA,Pinal,4442,110221000,Coolidge Unified District,88427,110221009,Mountain Vista Middle School,N,390,31,25,38,7,44,494,5,24,68,3,71,479,15,54,30,1,31,474,22,22,28,27,55
2014,ARIZONA,Maricopa,4276,70459000,Laveen Elementary District,89266,70459106,Desert Meadows Elementary School,N,386,21,24,39,16,55,484,5,21,68,6,74,482,15,48,*,*,38,494,16,32,30,22,52
2014,ARIZONA,Pinal,89412,78687000,"Eduprize Schools, LLC",89413,78687101,Eduprize School,Y,417,7,16,42,35,77,513,2,8,75,15,90,516,5,25,63,7,71,537,4,14,39,44,82
2014,ARIZONA,Maricopa,89414,78688000,"Sage Academy, Inc.",89415,78688101,Sage Academy,Y,382,24,32,32,11,44,489,1,20,72,7,79,479,15,53,*,*,32,500,14,33,38,14,52
2014,ARIZONA,Maricopa,90326,78563000,"Ombudsman Educational Services, LTD, a subsidiary of Educational Services of Ame",89440,78563002,Ombudsman - Charter East II,Y,463,61,21,16,1,18,670,5,60,*,*,35,453,29,51,*,*,20,447,87,7,*,*,7
2014,ARIZONA,Maricopa,89486,78527000,"Mesa Preparatory Academy, Inc.",89487,78527001,Great Hearts Academies - Mesa Prep,Y,468,6,8,44,41,85,595,1,5,69,25,94,538,1,13,72,13,86,545,6,7,25,63,88
2014,ARIZONA,Maricopa,89550,78529000,Ambassador Academy,89551,78529101,Ambassador Academy,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,ARIZONA,Maricopa,89556,78530000,"Concordia Charter School, Inc.",89557,78530101,Concordia Charter School,Y,353,34,38,26,2,28,464,*,*,*,*,68,484,*,*,*,*,31,478,17,67,*,*,17
2014,ARIZONA,Maricopa,89561,78531000,"Imagine Camelback Middle, Inc.",89562,78531101,Imagine Camelback Middle,Y,406,22,34,35,9,44,511,2,23,74,1,75,484,12,48,*,*,40,486,45,14,23,18,41
